disease,workout
Tuberculosis,Consult a healthcare professional
Tuberculosis,Rest and conserve energy
Tuberculosis,Gradually resume normal diet
Tuberculosis,Follow medical recommendations
Common Cold,Stay hydrated
Common Cold,Include nutrient-rich foods
Common Cold,Consume foods rich in vitamin C and antioxidants
Common Cold,Include zinc-rich foods
Common Cold,Limit sugary foods and beverages
Common Cold,Consume chicken soup
Common Cold,Consult a healthcare professional
Common Cold,Rest and conserve energy
Common Cold,Gradually resume normal diet
Common Cold,Follow medical recommendations
Pneumonia,Stay hydrated
Pneumonia,Include nutrient-rich foods
Pneumonia,Consume foods rich in vitamin C and antioxidants
Pneumonia,Include zinc-rich foods
Pneumonia,Limit sugary foods and beverages
Pneumonia,Consume chicken soup
Pneumonia,Consult a healthcare professional
Pneumonia,Rest and conserve energy
Pneumonia,Gradually resume normal diet
Pneumonia,Follow medical recommendations
Dimorphic hemmorhoids(piles),Consume high-fiber foods
Dimorphic hemmorhoids(piles),Stay hydrated
Dimorphic hemmorhoids(piles),Include nutrient-rich foods
Dimorphic hemmorhoids(piles),Consume foods rich in flavonoids
Dimorphic hemmorhoids(piles),Limit processed foods
Dimorphic hemmorhoids(piles),Avoid spicy and greasy foods
Dimorphic hemmorhoids(piles),Consult a healthcare professional
Dimorphic hemmorhoids(piles),Practice good hygiene
Dimorphic hemmorhoids(piles),Gradually resume normal diet
Dimorphic hemmorhoids(piles),Follow medical recommendations
Heart attack,Follow a heart-healthy diet
Heart attack,Limit sodium intake
Heart attack,Include fiber-rich foods
Heart attack,Consume healthy fats
Heart attack,Include lean proteins
Heart attack,Limit sugary foods and beverages
Heart attack,Stay hydrated
Heart attack,Consult a healthcare professional
Heart attack,Follow medical recommendations
Heart attack,Engage in regular exercise
Varicose veins,Consume a high-fiber diet
Varicose veins,Stay hydrated
Varicose veins,Include nutrient-rich foods
Varicose veins,Consume foods rich in antioxidants
Varicose veins,Limit sodium intake
Varicose veins,Include flavonoid-rich foods
Varicose veins,Avoid standing or sitting for long periods
Varicose veins,Consult a healthcare professional
Varicose veins,Follow medical recommendations
Varicose veins,Engage in regular exercise
Hypothyroidism,Include iodine-rich foods
Hypothyroidism,Consume selenium-rich foods
Hypothyroidism,Stay hydrated
Hypothyroidism,Include nutrient-rich foods
Hypothyroidism,Limit processed foods
Hypothyroidism,Consume foods rich in vitamins B and D
Hypothyroidism,Consult a healthcare professional
Hypothyroidism,Follow medical recommendations
Hypothyroidism,Maintain a stable weight
Hypothyroidism,Engage in regular exercise
Hyperthyroidism,Limit iodine intake
Hyperthyroidism,Consume cruciferous vegetables in moderation
Hyperthyroidism,Stay hydrated
Hyperthyroidism,Include nutrient-rich foods
Hyperthyroidism,Limit caffeine and alcohol
Hyperthyroidism,Include omega-3 fatty acids
Hyperthyroidism,Consult a healthcare professional
Hyperthyroidism,Follow medical recommendations
Hyperthyroidism,Maintain a stable weight
Hyperthyroidism,Engage in regular exercise
Hypoglycemia,Consume complex carbohydrates
Hypoglycemia,Include protein-rich foods
Hypoglycemia,Stay hydrated
Hypoglycemia,Limit sugary foods and beverages
Hypoglycemia,Consume regular meals and snacks
Hypoglycemia,Consult a healthcare professional
Hypoglycemia,Monitor blood sugar levels
Hypoglycemia,Follow medical recommendations
Hypoglycemia,Engage in regular physical activity
Hypoglycemia,Limit alcohol intake
Osteoarthristis,Consume anti-inflammatory foods
Osteoarthristis,Include omega-3 fatty acids
Osteoarthristis,Consume antioxidant-rich foods
Osteoarthristis,Stay hydrated
Osteoarthristis,Limit processed foods
Osteoarthristis,Include vitamin K-rich foods
Osteoarthristis,Consult a healthcare professional
Osteoarthristis,Follow medical recommendations
Osteoarthristis,Engage in low-impact exercise
Osteoarthristis,Maintain a healthy weight
Arthritis,Consume anti-inflammatory foods
Arthritis,Include omega-3 fatty acids
Arthritis,Consume antioxidant-rich foods
Arthritis,Stay hydrated
Arthritis,Limit processed foods
Arthritis,Include vitamin K-rich foods
Arthritis,Consult a healthcare professional
Arthritis,Follow medical recommendations
Arthritis,Engage in low-impact exercise
Arthritis,Maintain a healthy weight
(vertigo) Paroymsal  Positional Vertigo,"Avoid trigger foods (caffeine, alcohol)"
(vertigo) Paroymsal  Positional Vertigo,Limit sodium intake
(vertigo) Paroymsal  Positional Vertigo,Stay hydrated
(vertigo) Paroymsal  Positional Vertigo,Consume ginger and ginkgo biloba
(vertigo) Paroymsal  Positional Vertigo,Limit artificial sweeteners
(vertigo) Paroymsal  Positional Vertigo,Consult a healthcare professional
(vertigo) Paroymsal  Positional Vertigo,Avoid sudden head movements
(vertigo) Paroymsal  Positional Vertigo,Follow medical recommendations
(vertigo) Paroymsal  Positional Vertigo,Manage stress
(vertigo) Paroymsal  Positional Vertigo,Limit caffeine and stimulants
Acne,Consume a balanced diet
Acne,Limit dairy and high-glycemic foods
Acne,Include antioxidants
Acne,Stay hydrated
Acne,Limit processed foods
Acne,Include zinc-rich foods
Acne,Consult a skincare professional
Acne,Practice good skincare hygiene
Acne,Limit sugary foods and beverages
Acne,Follow medical recommendations
Urinary tract infection,Stay hydrated
Urinary tract infection,Consume cranberry products
Urinary tract infection,Include vitamin C-rich foods
Urinary tract infection,Limit caffeine and alcohol
Urinary tract infection,Consume probiotics
Urinary tract infection,Avoid spicy and acidic foods
Urinary tract infection,Consult a healthcare professional
Urinary tract infection,Follow medical recommendations
Urinary tract infection,Maintain good hygiene
Urinary tract infection,Limit sugary foods and beverages
Psoriasis,Consume anti-inflammatory foods
Psoriasis,Include omega-3 fatty acids
Psoriasis,Include vitamin D analogues
Psoriasis,Limit alcohol consumption
Psoriasis,Stay hydrated
Psoriasis,Consult a healthcare professional
Psoriasis,Limit processed foods
Psoriasis,Follow medical recommendations
Psoriasis,Manage stress
Psoriasis,Consider phototherapy under medical guidance
Impetigo,Maintain good hygiene
Impetigo,Stay hydrated
Impetigo,Consume nutrient-rich foods
Impetigo,Limit sugary foods and beverages
Impetigo,Include foods rich in vitamin C
Impetigo,Consult a healthcare professional
Impetigo,Follow medical recommendations
Impetigo,Avoid scratching
Impetigo,Take prescribed antibiotics
Impetigo,Practice wound care
Acute Sinusitis,Steam inhalation exercises
Acute Sinusitis,Light breathing exercises
Acute Sinusitis,Stay hydrated during workouts
Acute Sinusitis,Gentle stretching
Gastritis,Light walking after meals
Gastritis,Yoga for digestion
Gastritis,Breathing exercises
Gastritis,Avoid heavy workouts after eating
Bronchitis,Breathing exercises
Bronchitis,Light cardio walking
Bronchitis,Chest expansion exercises
Bronchitis,Avoid intense workouts
Tonsillitis,Light stretching
Tonsillitis,Gentle yoga
Tonsillitis,Stay hydrated
Tonsillitis,Avoid intense exercise
Conjunctivitis,Light walking
Conjunctivitis,Avoid dusty environments
Conjunctivitis,Relaxation exercises
Conjunctivitis,Gentle stretching
Food Poisoning,Rest until recovery
Food Poisoning,Light walking after recovery
Food Poisoning,Hydration focus
Food Poisoning,Gentle stretching
Dengue,Complete rest initially
Dengue,Light walking during recovery
Dengue,Stretching exercises
Dengue,Hydration focus
Typhoid,Complete rest initially
Typhoid,Light walking after recovery
Typhoid,Breathing exercises
Typhoid,Gentle stretching
Pneumonia,Breathing exercises
Pneumonia,Slow walking
Pneumonia,Chest expansion exercises
Pneumonia,Gradual cardio recovery
Kidney Infection,Light walking
Kidney Infection,Hydration focus
Kidney Infection,Gentle stretching
Kidney Infection,Avoid heavy lifting
Urinary Tract Infection,Light walking
Urinary Tract Infection,Hydration focus
Urinary Tract Infection,Gentle stretching
Urinary Tract Infection,Avoid intense workouts
Hypothyroidism,Regular walking
Hypothyroidism,Strength training
Hypothyroidism,Yoga
Hypothyroidism,Low impact cardio
Hyperthyroidism,Yoga and meditation
Hyperthyroidism,Light cardio
Hyperthyroidism,Breathing exercises
Hyperthyroidism,Stretching
Anxiety Disorder,Meditation
Anxiety Disorder,Yoga
Anxiety Disorder,Walking
Anxiety Disorder,Breathing exercises
Depression Disorder,Regular walking
Depression Disorder,Yoga
Depression Disorder,Light cardio
Depression Disorder,Outdoor exercise
Heat Stroke,Rest in cool environment
Heat Stroke,Hydration focus
Heat Stroke,Avoid outdoor workouts
Heat Stroke,Light stretching indoors
Motion Sickness,Breathing exercises
Motion Sickness,Light stretching
Motion Sickness,Relaxation exercises
Motion Sickness,Gentle walking
Ear Infection,Rest
Ear Infection,Avoid swimming
Ear Infection,Light stretching
Ear Infection,Gentle walking
Allergic Rhinitis,Breathing exercises
Allergic Rhinitis,Light cardio indoors
Allergic Rhinitis,Yoga
Allergic Rhinitis,Avoid outdoor allergens
Migraine Variant,Yoga
Migraine Variant,Meditation
Migraine Variant,Gentle stretching
Migraine Variant,Light walking
