Disease,Diet
Pneumonia,"['Protein rich diet','Warm soups','Garlic','Vitamin C foods']"
Kidney Infection,"['Cranberry juice','Plenty of water','Fruits','Vegetables']"
Urinary Tract Infection,"['Cranberry juice','Water','Probiotic yogurt','Fruits']"
Hypothyroidism,"['Iodine rich foods','Whole grains','Seafood','Vegetables']"
Hyperthyroidism,"['Calcium rich foods','Broccoli','Cabbage','Whole grains']"
Anxiety Disorder,"['Magnesium rich foods','Dark chocolate','Leafy greens','Nuts']"
Depression Disorder,"['Omega-3 foods','Fish','Whole grains','Fruits']"
Heat Stroke,"['Electrolyte drinks','Watermelon','Coconut water','Salads']"
Motion Sickness,"['Ginger','Crackers','Peppermint tea','Bananas']"
Ear Infection,"['Vitamin C foods','Garlic','Warm soups','Fruits']"
Allergic Rhinitis,"['Anti-inflammatory foods','Ginger','Turmeric','Green tea']"
